INFO  - 2015-12-11 05:26:30.633; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at /Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/example/solr/collection1/, dataDir=/Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/example/solr/collection1/data/
INFO  - 2015-12-11 05:26:30.634; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2015-12-11 05:26:30.637; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2015-12-11 05:26:30.637; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2015-12-11 05:26:30.646; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/example/solr/collection1/data
INFO  - 2015-12-11 05:26:30.649; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/example/solr/collection1/data/index/
WARN  - 2015-12-11 05:26:30.649; org.apache.solr.core.SolrCore; [collection1] Solr index directory '/Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/example/solr/collection1/data/index' doesn't exist. Creating new index...
INFO  - 2015-12-11 05:26:30.656; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/example/solr/collection1/data/index
INFO  - 2015-12-11 05:26:30.685; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@/Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2015-12-11 05:26:30.686; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2015-12-11 05:26:30.688; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2015-12-11 05:26:30.688; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2015-12-11 05:26:30.689; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2015-12-11 05:26:30.690; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2015-12-11 05:26:30.691; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2015-12-11 05:26:30.751; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2015-12-11 05:26:30.755; org.apache.solr.core.RequestHandlers; created /update: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2015-12-11 05:26:30.756; org.apache.solr.core.RequestHandlers; created /update/json: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2015-12-11 05:26:30.756; org.apache.solr.core.RequestHandlers; created /update/csv: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2015-12-11 05:26:30.756; org.apache.solr.core.RequestHandlers; created /update/json/docs: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2015-12-11 05:26:30.759; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2015-12-11 05:26:30.760; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
